 #  SO virial mass [solar mass]  red-shift  b 
  3.0267631238E+05  1.1651326025E+00  7.2451385497E-01
  3.0267631238E+05  1.2581113840E+00  7.2642708363E-01
  3.0267631238E+05  1.3585099681E+00  7.2865924983E-01
  3.0267631238E+05  1.4669204626E+00  7.3126616458E-01
  3.0267631238E+05  1.5839822262E+00  7.3431376101E-01
  3.0267631238E+05  1.7103856391E+00  7.3788001848E-01
  3.0267631238E+05  1.8468761745E+00  7.4205727347E-01
  3.0267631238E+05  1.9942587952E+00  7.4695499731E-01
  3.0267631238E+05  2.1534027008E+00  7.5270314069E-01
  3.0267631238E+05  2.3252464539E+00  7.5945615886E-01
  3.0267631238E+05  2.5108035155E+00  7.6739786226E-01
  3.0267631238E+05  2.7111682218E+00  7.7674726378E-01
  3.0267631238E+05  2.9275222379E+00  7.8776562748E-01
  3.0267631238E+05  3.1611415273E+00  8.0076497610E-01
  3.0267631238E+05  3.4134038766E+00  8.1611835281E-01
  3.0267631238E+05  3.6857970212E+00  8.3427221763E-01
  3.0267631238E+05  3.9799274192E+00  8.5576141201E-01
  3.0267631238E+05  4.2975297259E+00  8.8122725030E-01
  3.0267631238E+05  4.6404770237E+00  9.1143937878E-01
  3.0267631238E+05  5.0107918691E+00  9.4732222010E-01
  3.0267631238E+05  5.4106582205E+00  9.8998695787E-01
  3.0267631238E+05  5.8424343185E+00  1.0407702497E+00
  3.0267631238E+05  6.3086665938E+00  1.1012811051E+00
  3.0267631238E+05  6.8121046848E+00  1.1734576510E+00
  3.0267631238E+05  7.3557176540E+00  1.2596359329E+00
  3.0267631238E+05  7.9427114979E+00  1.3626333004E+00
  3.0267631238E+05  8.5765480550E+00  1.4858495147E+00
  3.0267631238E+05  9.2609654221E+00  1.6333894158E+00
  3.0267631238E+05  1.0000000000E+01  1.8102117605E+00
  3.8819401758E+05  5.0000000000E-03  7.1210530700E-01
  3.8819401758E+05  5.3990051491E-03  7.1210660262E-01
  3.8819401758E+05  5.8298513201E-03  7.1210800352E-01
  3.8819401758E+05  6.2950794591E-03  7.1210951843E-01
  3.8819401758E+05  6.7974332828E-03  7.1211115679E-01
  3.8819401758E+05  7.3398754590E-03  7.1211292890E-01
  3.8819401758E+05  7.9256050794E-03  7.1211484592E-01
  3.8819401758E+05  8.5580765267E-03  7.1211692001E-01
  3.8819401758E+05  9.2410198469E-03  7.1211916439E-01
  3.8819401758E+05  9.9784627473E-03  7.1212159342E-01
  3.8819401758E+05  1.0774754351E-02  7.1212422279E-01
  3.8819401758E+05  1.1634590844E-02  7.1212706956E-01
  3.8819401758E+05  1.2563043175E-02  7.1213015235E-01
  3.8819401758E+05  1.3565586958E-02  7.1213349147E-01
  3.8819401758E+05  1.4648134767E-02  7.1213710912E-01
  3.8819401758E+05  1.5817071007E-02  7.1214102952E-01
  3.8819401758E+05  1.7079289562E-02  7.1214527921E-01
  3.8819401758E+05  1.8442234458E-02  7.1214988721E-01
  3.8819401758E+05  1.9913943760E-02  7.1215488535E-01
  3.8819401758E+05  2.1503096980E-02  7.1216030851E-01
  3.8819401758E+05  2.3219066263E-02  7.1216619504E-01
  3.8819401758E+05  2.5071971662E-02  7.1217258705E-01
  3.8819401758E+05  2.7072740821E-02  7.1217953089E-01
  3.8819401758E+05  2.9233173419E-02  7.1218707767E-01
  3.8819401758E+05  3.1566010763E-02  7.1219528374E-01
  3.8819401758E+05  3.4085010929E-02  7.1220421136E-01
  3.8819401758E+05  3.6805029903E-02  7.1221392942E-01
  3.8819401758E+05  3.9742109192E-02  7.1222451423E-01
  3.8819401758E+05  4.2913570433E-02  7.1223605047E-01
  3.8819401758E+05  4.6338117547E-02  7.1224863223E-01
  3.8819401758E+05  5.0035947047E-02  7.1226236426E-01
  3.8819401758E+05  5.4028867150E-02  7.1227736333E-01
  3.8819401758E+05  5.8340426388E-02  7.1229375986E-01
  3.8819401758E+05  6.2996052495E-02  7.1231169977E-01
  3.8819401758E+05  6.8023202359E-02  7.1233134660E-01
  3.8819401758E+05  7.3451523959E-02  7.1235288400E-01
  3.8819401758E+05  7.9313031213E-02  7.1237651858E-01
  3.8819401758E+05  8.5642292783E-02  7.1240248322E-01
  3.8819401758E+05  9.2476635943E-02  7.1243104093E-01
  3.8819401758E+05  9.9856366727E-02  7.1246248932E-01
  3.8819401758E+05  1.0782500763E-01  7.1249716582E-01
  3.8819401758E+05  1.1642955428E-01  7.1253545378E-01
  3.8819401758E+05  1.2572075261E-01  7.1257778957E-01
  3.8819401758E+05  1.3575339814E-01  7.1262467088E-01
  3.8819401758E+05  1.4658665911E-01  7.1267666651E-01
  3.8819401758E+05  1.5828442547E-01  7.1273442774E-01
  3.8819401758E+05  1.7091568562E-01  7.1279870175E-01
  3.8819401758E+05  1.8455493335E-01  7.1287034735E-01
