 # k        T(k) 
  2.1544346900E-01  2.6257428320E-02
  2.1995930680E-01  2.5442495726E-02
  2.2456979955E-01  2.4624978154E-02
  2.2927693129E-01  2.3828679888E-02
  2.3408272762E-01  2.3074258700E-02
  2.3898925662E-01  2.2369504378E-02
  2.4399862973E-01  2.1706711020E-02
  2.4911300261E-01  2.1068201762E-02
  2.5433457613E-01  2.0436666754E-02
  2.5966559729E-01  1.9804337370E-02
  2.6510836019E-01  1.9175814301E-02
  2.7066520700E-01  1.8563300880E-02
  2.7633852901E-01  1.7977731600E-02
  2.8213076759E-01  1.7421766237E-02
  2.8804441534E-01  1.6889093313E-02
  2.9408201706E-01  1.6369918089E-02
  3.0024617091E-01  1.5858140598E-02
  3.0653952951E-01  1.5354812056E-02
  3.1296480107E-01  1.4865698492E-02
  3.1952475058E-01  1.4395573800E-02
  3.2622220097E-01  1.3944260282E-02
  3.3306003436E-01  1.3507469857E-02
  3.4004119327E-01  1.3081032789E-02
  3.4716868189E-01  1.2664251707E-02
  3.5444556740E-01  1.2259444228E-02
  3.6187498124E-01  1.1868727151E-02
  3.6946012052E-01  1.1491647480E-02
  3.7720424934E-01  1.1125901693E-02
  3.8511070023E-01  1.0769845606E-02
  3.9318287557E-01  1.0423774106E-02
  4.0142424905E-01  1.0088777916E-02
  4.0983836718E-01  9.7649357272E-03
  4.1842885079E-01  9.4511037232E-03
  4.2719939663E-01  9.1462652974E-03
  4.3615377892E-01  8.8504494488E-03
  4.4529585099E-01  8.5640897016E-03
  4.5462954695E-01  8.2869610137E-03
  4.6415888336E-01  8.0182649159E-03
  4.7388796097E-01  7.7575619378E-03
  4.8382096649E-01  7.5050035055E-03
  4.9396217439E-01  7.2605851654E-03
  5.0431594872E-01  7.0237806136E-03
  5.1488674501E-01  6.7941497851E-03
  5.2567911220E-01  6.5717247855E-03
  5.3669769455E-01  6.3564661650E-03
  5.4794723369E-01  6.1479309724E-03
  5.5943257062E-01  5.9458124445E-03
  5.7115864781E-01  5.7501495693E-03
  5.8313051135E-01  5.5607697660E-03
  5.9535331308E-01  5.3772752518E-03
  6.0783231283E-01  5.1995698390E-03
  6.2057288068E-01  5.0276219349E-03
  6.3358049927E-01  4.8611016206E-03
  6.4686076615E-01  4.6998259438E-03
  6.6041939623E-01  4.5437877677E-03
  6.7426222418E-01  4.3927215125E-03
  6.8839520696E-01  4.2464387746E-03
  7.0282442643E-01  4.1049218388E-03
  7.1755609189E-01  3.9679268291E-03
  7.3259654282E-01  3.8353126549E-03
  7.4795225156E-01  3.7070318298E-03
  7.6362982613E-01  3.5828482544E-03
  7.7963601304E-01  3.4626939604E-03
  7.9597770023E-01  3.3464527179E-03
  8.1266192001E-01  3.2339444649E-03
  8.2969585208E-01  3.1251315771E-03
  8.4708682666E-01  3.0198312677E-03
  8.6484232757E-01  2.9179759682E-03
  8.8296999555E-01  2.8194462757E-03
  9.0147763145E-01  2.7241256252E-03
  9.2037319966E-01  2.6319427478E-03
  9.3966483150E-01  2.5427614669E-03
  9.5936082871E-01  2.4565281000E-03
  9.7946966707E-01  2.3731099581E-03
  1.0000000000E+00  2.2924557272E-03
  1.0209606623E+00  2.2144437323E-03
  1.0423606740E+00  2.1390214383E-03
  1.0642092441E+00  2.0660791250E-03
  1.0865157747E+00  1.9955616674E-03
  1.1092898649E+00  1.9273731714E-03
  1.1325413152E+00  1.8614520292E-03
  1.1562801312E+00  1.7977204801E-03
  1.1805165286E+00  1.7361062676E-03
  1.2052609369E+00  1.6765501922E-03
  1.2305240044E+00  1.6189743844E-03
  1.2563166025E+00  1.5633255301E-03
  1.2826498305E+00  1.5095370619E-03
  1.3095350205E+00  1.4575464005E-03
  1.3369837418E+00  1.4073020185E-03
  1.3650078065E+00  1.3587427478E-03
  1.3936192742E+00  1.3118132317E-03
  1.4228304572E+00  1.2664645463E-03
  1.4526539259E+00  1.2226434856E-03
  1.4831025143E+00  1.1802984260E-03
  1.5141893253E+00  1.1393830236E-03
  1.5459277364E+00  1.0998515517E-03
  1.5783314057E+00  1.0616576701E-03
  1.6114142773E+00  1.0247568658E-03
  1.6451905878E+00  9.8910714720E-04
  1.6796748721E+00  9.5466797021E-04
  1.7148819699E+00  9.2139959128E-04
  1.7508270317E+00  8.8926323604E-04
  1.7875255259E+00  8.5822139230E-04
  1.8249932448E+00  8.2823786897E-04
  1.8632463119E+00  7.9927770073E-04
  1.9023011887E+00  7.7130704379E-04
  1.9421746815E+00  7.4429311349E-04
  1.9828839491E+00  7.1820415161E-04
  2.0244465100E+00  6.9300940259E-04
  2.0668802496E+00  6.6867908812E-04
  2.1102034286E+00  6.4518437877E-04
  2.1544346900E+00  6.2249736564E-04
  2.1995930680E+00  6.0059103752E-04
  2.2456979955E+00  5.7943926806E-04
  2.2927693129E+00  5.5901680631E-04
  2.3408272762E+00  5.3929924127E-04
  2.3898925662E+00  5.2026291199E-04
  2.4399862973E+00  5.0188482054E-04
  2.4911300261E+00  4.8414270286E-04
  2.5433457613E+00  4.6701520532E-04
  2.5966559729E+00  4.5048172557E-04
  2.6510836019E+00  4.3452204100E-04
  2.7066520700E+00  4.1911666199E-04
  2.7633852901E+00  4.0424703680E-04
  2.8213076759E+00  3.8989481798E-04
  2.8804441534E+00  3.7604248507E-04
  2.9408201706E+00  3.6267311717E-04
  3.0024617091E+00  3.4977015475E-04
  3.0653952951E+00  3.3731784744E-04
  3.1296480107E+00  3.2530071312E-04
  3.1952475058E+00  3.1370396279E-04
  3.2622220097E+00  3.0251323177E-04
  3.3306003436E+00  2.9171456437E-04
  3.4004119327E+00  2.8129461676E-04
  3.4716868189E+00  2.7124037315E-04
